역이름,게스트 선호 숙소 수,비게스트 선호 숙소 수
Edouard Poisson,0,0
Edouard Tremblay,0,0
Edouard Vaillant,31,21
Eglise d'Auteuil,27,22
Emeriau,51,46
Emile Blemont,95,53
Emile Reynaud,1,3
Emile Zola,68,68
Enfants du Paradis,0,0
Enghien,146,185
Epi d'Or,0,0
Epée de Bois,66,57
Erasme,66,42
Esplanade du Foncet,0,0
Estienne d'Orves,0,0
Estrapade,67,44
Etienne Dolet,51,48
Etienne Jodelle,75,99
Etienne Marcel,182,194
Eugène Oudiné,11,15
Eugène Reisz,17,7
Eugène Varlin,0,0
Euryale Dehaynin,42,31
Exelmans,26,19
Eylau,41,36
Fabre d'Eglantine,28,20
Faidherbe,79,74
Faubourg Du Temple,136,123
Faubourg Montmartre,96,118
Faubourg Poissonniere,106,81
Faubourg Poissonnière,100,81
Faubourg St-Antoine,52,27
Faustin Hélie,35,35
Favart,59,113
Fernand Braudel,6,1
Ferrus,24,15
Fessart,0,0
Fief,0,0
Fille du Calvaire,158,139
Filles Saint-Thomas,75,123
Flandre,37,42
Flandrin,17,14
Fontaine du Tertre,0,0
Fontainebleau,0,0
Fontenay,0,0
Fort d'Aubervilliers,0,0
Fragonard,24,23
Franciade,0,0
Francoeur,131,72
Franquet,11,29
Française,181,207
François 1er,31,71
François Debergue,0,0
François Ponsard,35,33
François Truffaut,4,3
Froidevaux,28,35
Froment,121,124
Frères Flavien,6,3
Fédération,44,45
Félix Faure,2,2
Félix Ziem,120,61
Gabriel Lamé,4,3
Gabriel Péri,111,113
Gabrielle Josserand,0,1
Galilée,37,39
Gallieni,0,0
Gambetta,12,6
Gardenat Lapostol,0,0
Gardenat-Lapostol,0,0
Gare,0,0
Gare Arcueil,0,0
Gare Montparnasse,41,46
Gare RER,27,15
Gare RER de Gentilly,3,5
Gare RER de Saint-Denis,0,0
Gare RER de Vincennes,0,0
Gare RER les Grésillons,0,0
Gare Rer de Fontenay sous Bois,0,0
Gare Rosny-Bois-Perrier,0,0
Gare Routière de Saint Cloud,0,0
Gare SNCF Vanves-Malakoff,0,0
Gare Saint-Lazare,37,80
Gare d'Argenteuil,0,0
Gare d'Asnières sur Seine,0,0
Gare d'Austerlitz,9,10
Gare de Bellevue,0,0
Gare de Bercy,6,7
Gare de Chaville Rive Gauche,0,0
Gare de Clichy-Levallois,0,0
Gare de Courbevoie,0,0
Gare de Laplace,0,0
Gare de Lyon,18,28
Gare de Nanterre Ville,0,0
Gare de Nogent-le-Perreux,0,0
Gare de Pont-Cardinet,36,65
Gare de Reuilly,23,11
Gare de Robinson,0,0
Gare de Sèvres,0,0
Gare de l'Est,75,74
Gare des Vallées,0,0
Gare du Nord,57,53
Gare du Stade,0,0
Garibaldi,0,0
Gaston Roussel,0,0
Gaston Tessier,10,12
Gay Lussac,49,26
Geoffroy,98,109
Geoffroy-Saint-Hilaire,28,32
George Sand,32,24
George V,34,71
Georges Pompidou,0,0
Georges V,33,70
Gergovie,29,40
Glacière,25,19
Gobelins,43,47
Godot de Mauroy,50,45
Gouthière,12,4
Goutte d'or,112,110
Grand Prieuré,127,103
Grande Armée,58,39
Grande Rue,0,0
Grande Truanderie,192,226
Grands Moulins de Pantin,2,0
Granges aux Belles,86,60
Gravelle,1,0
Grenelle,84,75
Greneta,211,352
Guersant,31,27
Guichet,0,0
Guillaume Bertrand,112,68
Guillaume Tell,0,0
Gustave Eiffel,0,0
Guy Môquet,63,95
Guynemer,25,33
Génie,0,0
Général De Gaulle,0,2
Général Delambre,0,0
Général Leclerc,0,0
Général Martial Valin,3,5
Général Michel Bizot,17,19
Gérando,142,129
Haies,46,32
Halle Freyssinet,13,9
Halles,123,122
Hameau Fleuri,0,0
Harpe,90,108
Hauteville,158,289
Hautpoul,36,22
Haxo,30,17
Hector Malot,42,58
Henri Barbusse,22,48
Henri Chevreau,54,44
Henri Ravera,0,0
Henri Ste-Claire Déville,0,0
Henry Farman,0,4
Herschel,36,24
Hippodrome Paris-Vincennes,1,0
Hippodrome de Longchamp,0,0
Hispano Suiza,0,0
Hoche,99,85
Honoré d'Estienne d'Ovres,0,0
Hélène et François Missoffe,1,9
Hôpital,18,34
Hôpital Bégin,0,0
Hôpital Européen Georges Pompidou,5,13
Hôpital Necker,24,39
Hôpital Pitié Salpêtrière,18,19
Hôpital Robert Debré,15,9
Hôtel de Ville,106,68
Hôtel de Ville d'Argenteuil,0,0
Hôtel de Ville d'Asnières sur Seine,0,0
Hôtel de Ville de Boulogne Billancourt,0,0
Hôtel de Ville de Champigny sur Marne,0,0
Hôtel de Ville de Chaville,0,0
Hôtel de Ville de Fontenay-aux-Roses,0,0
Hôtel de Ville de Levallois Perret,0,0
Hôtel de Ville de Nanterre,0,0
Hôtel de Ville de Rueil-Malmaison,0,0
Hôtel de Ville de Saint-Ouen,0,0
Hôtel de Ville de Sèvres,0,0
Hôtel de Ville de Vincennes,0,0
Hôtel de ville de Fontenay-sous-Bois,0,0
Indre,38,15
Institut de France,47,50
Institut du Monde Arabe,46,33
Italie,16,13
Ivry,12,18
Jacques Callot,75,90
Jacques Kellner,39,44
Jacquier,29,33
Jardin Marguerite Long,29,13
Jardin Modèle,0,0
Jardin d'Acclimatation,0,0
Jardin de l'Hospice Debrousse,34,14
Jardins d'Eole,19,36
Javel,26,36
Jean Bleuzen,1,1
Jean Bologne,48,62
Jean Bouin,0,0
Jean Calvin,63,51
Jean Colly,16,20
Jean Jaurès,70,90
Jean Lolive,0,0
Jean Macé,77,90
Jean Mermoz,36,61
Jean Monnet,0,0
Jean Moulin,33,18
Jean Oestreicher,10,16
Jean Rostand,0,0
Jean de la Fontaine,32,21
Jean-Baptiste Charcot,0,0
Jean-Baptiste Pigalle,91,79
Jean-François Lépine,42,65
Jean-Jacques Rousseau,95,89
Jean-Pierre Timbaud,109,67
Jeanne Hornet,0,0
Jemmapes,58,47
Jessaint,38,49
Jeûneurs,154,283
Joffre,0,0
Jonquière,37,39
Jonquoy,26,27
Joseph Dijon,72,70
Joseph Liouville,56,56
Joseph Sansboeuf,36,63
Jouffroy d'Abbans,25,38
Jourdain,70,42
Jourdan,8,12
Jules Ferry,123,98
Jules Guesde,42,30
Jules Guesdes,17,29
Jules Vallès,82,71
Jussieu,52,47
Karl Marx,0,0
Keller,101,116
Kléber,0,0
LCL Campus,0,0
La Jarry,0,0
La Motte-Picquet,25,24
Lac Daumesnil,1,0
Lacuée,39,57
Lacépède,52,56
Laffitte,56,107
Lagny,0,0
Lakanal,55,46
Lallier,166,148
Lally-Tollendal,32,35
Lamarck,69,71
Lamartine,106,108
Lamennais,42,65
Lampes,0,0
Landy,0,0
Larmeroux,0,0
Las Cases,11,4
Lassus,67,46
Laumière,34,22
Lauriston,41,45
Lavandieres Sainte Opportune,116,106
Lavoisier,0,0
Le Brix et Mesmin,15,21
Le Brun,36,38
Le Corbusier,0,0
Le Goff,52,29
Le Vau,11,5
Lebrun,0,0
Lecourbe,30,45
Ledru-Rollin,106,119
Legendre,57,78
Leibniz,41,24
Lemercier,51,56
Lepic,157,77
Leredde,13,19
Leroy des Barres,0,0
Les Blagis,0,0
Les Halles,126,115
Les Juilliottes,0,0
Les Planètes,0,0
Liard,13,8
Liberté,0,0
Lieutenant Chauré,27,11
Lisbonne,14,23
Liège,45,86
Lobau,131,110
Londres,42,79
Longchamp,35,35
Lorraine,36,22
Louis Blanc,49,56
Louis Ganne,11,5
Louis Lejeune,0,2
Louis Lumière,9,3
Louis Lumière.,6,4
Louis Pasteur,0,0
Louis Rolland,0,0
Louis Xavier de Ricard,0,0
Louis le Grand,43,107
Lourmel,52,43
Lucie Aubrac,38,33
Lucien Bossoutrot,4,9
Lucien Lanternier,0,0
Lucien Sampaix,99,75
Léon,62,94
Léon Frot,81,74
M.- A. Lagroua Weill-Hallé,5,3
Mac-Mahon,60,73
Macdonald,3,3
Madagascar,17,26
Madame de Sanzillon,0,0
Madeleine Michelis,1,0
Madeleine Vionnet,0,0
Magenta,82,83
Mahatma Gandhi,0,0
Maine,34,54
Mairie,1,0
Mairie d'Issy,0,0
Mairie d'Ivry-sur-Seine,0,0
Mairie de Bagnolet,0,1
Mairie de Clamart,0,0
Mairie de Clichy,0,0
Mairie de La Garenne Colombes,0,0
Mairie de Montreuil,0,0
Mairie de Neuilly sur Seine,0,0
Mairie de Romainville,0,0
Mairie de Rosny-sous-Bois,0,0
Mairie de Sceaux,0,0
Mairie de quartier du Plateau,0,0
Mairie du 10ème,159,175
Mairie du 11ème,111,108
Mairie du 12ème,20,14
Mairie du 14ème,43,53
Mairie du 15ème,38,43
Mairie du 16ème,29,31
Mairie du 18ème,106,80
Mairie du 19ème,34,17
Mairie du 20ème,46,17
Mairie du 2ème,89,118
Mairie du 3ème,178,222
Mairie du 4ème,138,96
Mairie du 7ème,15,10
Mairie du 8ème,17,31
Mairie du 9ème,74,114
Mairie du Kremlin-Bicêtre,0,0
Maison de Radio,27,16
Malakoff,32,17
Malesherbes,46,42
Manin,33,27
Marc Sangnier,0,0
Marcadet,124,106
Marceau,27,43
Marceau Delorme,0,0
Marcel Monge,0,0
Marcel Pourtout,0,0
Marcel Yol,0,2
Marcelin Berthelot,0,0
Marcelle,0,0
Marché Saint-Germain,72,89
Marché Saint-Quentin,68,79
Marché Secrétan,38,38
Marché aux fleurs,81,93
Marché d'Auteuil,26,17
Marie-Georges Picquart,22,55
Marignan,38,83
Mariotte,59,90
Marne,1,1
Marseillaise,4,2
Marseille,121,102
Martyrs de Châteaubriant,0,0
Marx Dormoy,0,0
Maréchal Joffre,0,0
Maréchal Leclerc de Hauteclocque,0,0
Mathis,34,43
Mathurins,47,82
Maurice Payret-Dortail,0,0
Maurice d'Ocagne,11,18
Maxime Gorki,0,0
Mazagran,62,51
Melun,35,40
Messine,26,38
Metz,42,55
Michel-Ange,26,17
Michelet,36,22
Milton,125,115
Miromesnil,31,40
Molitor,22,17
Molière,0,0
Monceau,18,28
Moncey,79,86
Mont Valérien,0,0
Montgallet,20,18
Montmartre,168,181
Montparnasse,55,37
Montreuil,28,19
Morice,0,0
Morillons,29,28
Mornay,35,29
Moscou,0,0
Moulin de Pierre,0,0
Moulin de la Pointe,9,10
Mouton Duvernet,46,40
Mozart,25,23
Mstislav Rostropovitch,7,22
Murat,17,10
Musée d'Orsay,26,15
Mutualité,66,63
Méchain,16,11
Ménil,0,0
Ménilmontant,38,36
Mézières,40,44
Mûriers,28,19
Nanterre,0,0
Naples,28,66
Nationale,39,36
Navier,42,48
Neuilly,0,0
Neuve Saint-Pierre,97,74
Ney,34,22
Niger,6,13
Noisy le Sec,2,1
Notre-Dame-des-Champs,47,29
Nungesser,0,0
Oberkampf,121,79
Octave Feuillet,23,23
Octave Gréard,33,23
Odessa,48,41
Olivier de Serres,35,39
Olympiades,13,12
Oratoire,71,53
Ordener,73,93
Orteaux,25,14
Ouest,32,48
Paganini,9,9
Paix,0,0
Pajol,19,24
Palais des Sports,23,34
Panthéon,86,62
Paradis,102,122
Parc André Citroën,17,26
Parc Eli Lotar,0,0
Parc Floral du Bel Air,0,0
Parc Georges Brassens,18,24
Parc Monceau,18,27
Parc Pierre Lagravère,0,0
Parc Roger Salengro,0,0
Parc Suzanne Lenglen,3,14
Parc de Belleville,70,54
Parc de Sceaux,0,0
Parc des Pierrettes,0,0
Paris,0,0
Parme,69,92
Parmentier,117,89
Parvis Corentin Celton,0,0
Parvis Robert Schuman,0,0
Pascal,51,53
Passy,39,50
Pasteur,6,9
Pau Casals,11,6
Paul Barruel,34,37
Paul Bodin,46,40
Paul Doumer,0,0
Paul Klee,5,1
Paul Signac,0,0
Paul Vaillant Couturier,0,0
Paul Vaillant-Couturier,70,83
Paul Valery,31,36
Pavé des Gardes,0,0
Payenne,152,108
Pelleport,43,13
Pelée,114,106
Pereire,28,37
Pergolèse,34,17
Perle,188,162
Pernety,26,41
Perrault,70,61
Pesaro,0,0
Petit,20,21
Petit Palais,5,4
Petites Ecuries,139,176
Phalsbourg,21,37
Philippe-Auguste,62,46
Piat,68,47
Picpus,29,14
Pierre Brossolette,0,0
Pierre Charron,38,90
Pierre Demours,56,57
Pierre Ginier,75,97
Pierre Grenier,0,0
Pierre Joseph Desault,1,1
Pierre Larousse,16,28
Pierre Lefaucheux,0,0
Pierre Levée,118,88
Pierre Sarrazin,94,115
Pierre et Marie Curie,18,9
Pierret,0,0
Pirogues de Bercy,2,0
Pitié-Salpêtrière,14,8
Place Adolphe Cherioux,37,35
Place Aimé Césaire,0,0
Place Alphonse Deville,34,35
Place Amédée Gordini,16,23
Place André Malraux,67,79
Place Aristide Briand,0,0
Place Balard,7,20
Place Carnot,0,0
Place Centrale,0,0
Place Charles Digeon,0,1
Place Charles Michels,47,40
Place Charles Vallin,25,32
Place Charles de Gaulle,0,0
Place Denfert-Rochereau,0,0
Place Du Général De Gaulle,0,0
Place Edmond Michelet,158,172
Place Etienne Pernet,40,32
Place Eustache Deschamps,0,0
Place Falguière,21,21
Place Farhat Hached,3,3
Place Fernand Forest,28,28
Place François Mitterand,0,0
Place Georges Guillaumin,32,60
Place Ginette Hamelin,5,1
Place Henri Dunant,0,0
Place Jacques Bonsergent,158,130
Place Jacques Madaule,0,0
Place Jacques et Thérèse Tréfouël,29,48
Place Jean Delay,25,13
Place Jean Ferrat,0,2
Place Jean Mermoz,0,0
Place Jean-Baptiste Clément,1,1
Place Jean-Spire-Lemaître,0,1
Place Jeanne d'Arc,13,20
Place Joffre,37,34
Place Jules Ferry,0,0
Place Lafayette,0,0
Place Madeleine Daniélou,7,9
Place Marcel Cachin,0,0
Place Marcel Sembat,0,0
Place Mireille Havet,71,67
Place Monge,59,56
Place Mongolfier,2,0
Place Nationale,11,16
Place Nelson Mandela,0,0
Place Pasdeloup,139,129
Place Paul Delouvrier,24,19
Place Paul Eluard,0,0
Place Pigalle,185,114
Place Robert Guillemard,16,31
Place Saint-André des Arts,92,114
Place Saint-Ferdinand,59,42
Place Saint-Just,0,0
Place Tony de Graaff,0,0
Place Tristan Bernard,59,60
Place Valhubert,11,11
Place Violet,62,48
Place aux Étoiles,0,0
Place d'Italie,33,39
Place de Barcelone,25,26
Place de Finlande,16,22
Place de Lévis,25,47
Place de Passy,44,43
Place de Rhin et Danube,28,38
Place de Rungis,25,6
Place de Verdun,0,0
Place de l'Eglise,19,11
Place de l'Europe,0,0
Place de l'Hôtel de Ville,130,117
Place de l'Insurrection d'Août 1944,0,0
Place de l'Édit de Nantes,38,42
Place de la Bastille,74,83
Place de la Division Leclerc,0,0
Place de la Fraternité,0,0
Place de la Gare,0,0
Place de la Madeleine,46,37
Place de la Montagne du Goulet,24,31
Place de la Nation,28,18
Place de la Paix,0,0
Place de la Porte de Champeret,13,28
Place de la Porte de Châtillon,16,21
Place de la Porte de Paris,0,0
Place de la Porte de Passy,11,9
Place de la Reine Astrid,22,36
Place de la République,131,145
Place de la vache noire,0,0
Place des Abbesses,194,121
Place des Arts,0,0
Place des Droits de l'Enfant,33,34
Place des Larris,0,0
Place des Marseillais,1,0
Place des Ternes.,56,69
Place des Victoires,123,122
Place du 14 Juillet,0,0
Place du 17 Octobre,0,0
Place du 8 Mai 1945,0,0
Place du 8 mai 1945.,0,0
Place du Canada,11,16
Place du Colonel Fabien,55,54
Place du Cornillon,0,0
Place du Docteur Yersin,3,3
Place du Front Populaire,0,0
Place du Général de Gaulle,0,0
Place du Lieutenant Henri Karcher,91,83
Place du Maquis du Vercors,13,8
Place du Maréchal Juin,26,39
Place du Maréchal de Lattre de Tassigny,0,0
Place du Moulin de Javel,5,7
Place du Palais Royal,66,57
Place du Président Salvador Allende,2,0
Placette Grégoire Collas,0,0
Plantes,34,35
Point du Jour,0,0
Poissonniers,30,44
Poissy,66,57
Pont De Charenton,0,0
Pont Neuf,101,98
Pont de Levallois-bécon,0,0
Pont de Lodi,68,88
Pont de Suresnes,0,0
Pontoise,69,58
Port,0,0
Port Royal,19,24
Port-Royal,39,38
Porte Dauphine,13,8
Porte Dorée,13,5
Porte Maillot,35,19
Porte Molitor,18,11
Porte Pouchet-Bessières,18,26
Porte Saint-Martin,205,316
Porte d'Asnières,11,18
Porte d'Aubervilliers,0,1
Porte d'Auteuil,18,15
Porte d'Italie,4,7
Porte d'Ivry,11,9
Porte d'Orléans,17,26
Porte de Bagnolet,16,7
Porte de Charenton,6,10
Porte de Clichy,4,5
Porte de Clignancourt,18,9
Porte de Clignancourt.,34,33
Porte de Ménilmontant,17,5
Porte de Pantin.,8,9
Porte de Saint Cloud,4,2
Porte de Saint-Ouen,14,20
Porte de Vanves,8,12
Porte de Versailles,20,34
Porte de Vincennes,2,2
Porte de la Muette,8,6
Porte de la Plaine,7,13
Porte de la Villette,4,5
Porte des Lilas,3,3
Portugais,38,41
Primo Levi,4,2
Professeur René Leriche,0,0
Proudhon,0,0
Provence,40,82
Pré Saint-Gervais,38,29
Président Roosevelt,0,0
Président Wilson,0,0
Pyramide,0,0
Pyrénées,41,27
Quai Jules Guesde,0,0
Quai Marcel Boyer,0,0
Quai Panhard et Levassor,2,2
Quai Voltaire,35,22
Quai aux Fleurs,74,51
Quai de Béthune,52,28
Quai de Sèvres,0,0
Quai de Valmy,46,65
Quai de l'Aisne,2,0
Quai de l'Horloge,76,75
Quai de l'Oise,33,27
Quai de la Gare,6,1
Quai de la Loire,30,44
Quai de la Seine,27,41
Quai des Célestins,63,48
Quai du Président Roosevelt,3,1
Quai du docteur Dervaux,0,0
Quatre Vents,88,113
Raffet,19,9
Ramponeau,75,59
Ranelagh,36,26
Rapp,44,48
Raspail,26,27
Raspail Barbès,0,0
Raymond Poincaré,42,37
Redoute,0,0
Regard,37,35
Regnault,7,9
Reims,5,13
René Binet,14,8
René Boulanger,170,182
René Coty,35,27
Repos,48,32
Reuilly,32,23
Reynaldo Hahn,7,10
Richard Lenoir,128,110
Richard Wallace,0,0
Riquet,24,38
Rivoli,52,61
Rochechouart,188,155
Rochechouart lamartine,117,123
Rocher,34,63
Roger Salengro,0,0
Roland Garros,0,0
Romain Rolland,5,14
Romainville,0,0
Rome,48,66
Rond-Point Rhin et Danube,0,0
Rond-point du Dr Albert Schweitzer,0,0
Roquette,106,104
Roquépine,40,52
Rossini,64,105
Rottembourg,21,11
Rougemont,132,174
Rouget de L'isle,0,0
Rouget de Lisle,0,0
Route de Sèvres,0,0
Route de la Muette,0,0
Ruisseau,115,53
Réaumur,134,165
Récollets,105,86
République,0,0
Résistance,10,16
Réunion,41,29
Sablons,41,39
Sabot,49,68
Sadi Carnot,0,0
Sahel,22,11
Saint Georges,88,98
Saint Lambert,39,48
Saint Pères,48,60
Saint-Amand,17,26
Saint-Ambroise,112,102
Saint-Antoine Sévigné,133,82
Saint-Augustin,23,41
Saint-Benoît,61,74
Saint-Blaise,23,14
Saint-Bon,122,118
Saint-Cloud,0,0
Saint-Denis,51,76
Saint-Didier,50,47
Saint-Fargeau,18,12
Saint-Fiacre,136,184
Saint-François-Xavier,14,16
Saint-Germain,110,101
Saint-Gilles,148,102
Saint-Honoré,47,60
Saint-Jacques,25,23
Saint-Lazare,65,65
Saint-Mande,17,10
Saint-Mandé,16,9
Saint-Marc,102,123
Saint-Marcel,20,12
Saint-Maur,103,85
Saint-Michel,46,32
Saint-Placide,37,34
Saint-Romain,31,38
Saint-Sulpice,47,60
Saint-Séverin,85,96
Saint-Vincent,0,0
Sainte-Elisabeth,189,242
Sambre et Meuse,70,67
Santé,23,21
Sarrette,28,34
Schoelcher,24,30
Sebastopol,197,210
Seine,33,31
Senard,0,0
Serrurier,11,16
Siam,28,30
Sibelle,23,19
Silly,0,0
Simon Bolivar,54,53
Simone Signoret,0,0
Solitaires,53,47
Sommerard,89,95
Sorbier,38,29
Sorbonne,94,103
Square Alban Satragne,103,96
Square Bela Bartok,46,31
Square Boucicaut,33,30
Square Cambronne,42,51
Square Claude Bernard,1,2
Square Denise Buisson,0,0
Square Desnouettes,22,37
Square Emile,225,368
Square Etienne Jarousse,1,4
Square Georges Melies,13,5
Square Gilbert Thomain,0,0
Square Louis XVI,46,64
Square Louise Michel,176,124
Square Léon,66,85
Square Montholon,118,120
Square Pierre Lazareff,181,311
Square Raymond Souplex,109,45
Square René Viviani,73,74
Square Saint-Ambroise,117,107
Square Simon Bolivar,63,45
Square Victor Basch,0,0
Square d'Anvers,158,126
Square de Choisy,29,28
Square de la rue Pixérécourt,55,32
Square des Amandiers,35,33
Square des Epinettes,62,74
Square des Saint-Simoniens,61,32
Square du Bataclan,121,102
Square du Carrefour de l'Insurrection,0,0
Square du Théâtre du Garde-Chasse,0,0
Stade Auguste Delaune,0,0
Stade Gaston Bouillant,0,0
Stade Georges Carpentier,9,14
Stade Pershing,0,0
Stade de France,0,0
Stalingrad,0,0
Station Paris Basketball,2,4
Stephenson,38,75
Strasbourg,191,308
Stéphanie Bouvard,0,0
Suffren,30,37
Surcouf,31,30
Suresnes,0,0
Suzanne Masson,0,0
Sèvres,10,6
Sèvres Rive Gauche,0,0
Sèvres-Gallieni,0,0
Ségur,11,9
Séminaire de Conflans,0,0
Sénat,66,83
Taitbout,45,85
Tanger,20,34
Tardieu,199,139
Temple,174,220
Terroirs de France,1,3
Tertres,0,0
Thionville,36,25
Thouin,73,66
Théophile Gautier,29,25
Thérèse,65,90
Théâtre,78,64
Théâtre de La Garenne,0,0
Théâtre des Amandiers,0,0
Tiron,136,90
Toffier Decaux,0,0
Tombe Issoire,38,26
