listing_id,id,date,reviewer_id,reviewer_name,comments,Positive Words,Negative Words
1489424,796379876538434691,2023-01-03,114235885,Susie,You’ll feel at home. Efrat and Daniel are great hosts. I stayed with my young kid and was grateful for the warm reception and also the privacy. I booked their home again on our return trip.,"['great', 'grateful', 'warm']",[]
1489424,818146090615116726,2023-02-02,414682721,Sue,"Had a great stay here!  The space is generous, with a bathroom just for the guests.  Very comfortable bed, quiet and private.","['great', 'generous', 'comfortable', 'quiet']",[]
1489424,820351624838032114,2023-02-05,24583585,Helen,"Huge, private space in a quiet neighborhood. Easy access to downtown (what in for a concert at The Egg) Very caring hosts as they dealt with power/water issues 'caused by frigid temps (all resolved!)<br/>Enjoyed talking sports w. Efrat. NCAA regionals anyone? :-)","['quiet', 'easy', 'enjoyed']","['issues', 'frigid']"
1489424,830531386051165880,2023-02-19,80750364,Jie,I spent two weeks here. Definitely a GREAT place! I'm so glaaaaaaad to find this sweet spot. Would recommend this place to anyone who needs to stay near UAlbany for a while. Thanks again for the wonderful hosting.,"['great', 'sweet', 'recommend', 'wonderful']",[]
1489424,833431690182794013,2023-02-23,23283940,Shuying,Very cozy and spacious place. There are lots of toys for my daughter to play with. It is very convenient if you have a car. About 12 minutes to Albany downtown.,"['cozy', 'spacious', 'convenient']",[]
1489424,838439038358607900,2023-03-02,148582705,Billy,You won’t find a better deal than this.,"['won', 'better']",[]
1489424,840651619578735239,2023-03-05,177265657,Guillaume,Match with the description.<br/>Very nice place.,['nice'],[]
1489424,852190883908047841,2023-03-21,51412406,Akshatha,"Efrat and Dan were very good hosts, but my plans changed multiple times due to the snowstorm, and they accommodated my change requests. Their communication was very clear. I had to arrive late at night, and they accommodated my request and were waiting for me too. <br/>Dan and Efrat are well-traveled and have such worldly knowledge that you will learn a lot by talking to them. Albany is very charming, and their place is so peaceful. I had a very good stay. They give you privacy if you want, and if you want to chat in the evening, they are very welcoming. I would definitely stay here again if I came to Albany. They are very responsive hosts; if you see this place in the listing, do take up on it. You will have a delightful stay.","['good', 'clear', 'charming', 'peaceful', 'good', 'responsive', 'delightful']",[]
1489424,855135161762012442,2023-03-25,335157870,Andreas,My third stay here at Efrat's in Albany - just as good as my other two stays! Great location and value in the area.,"['good', 'great']",[]
1489424,858041726862868146,2023-03-29,40733718,Renfeng,"super friendly host, this is second time of staying.  good as usual,  a lot of privacy with the whole unit to yourself. easy to communicate.  bed is comfortable.  will definitely stay again next time.","['super', 'friendly', 'good', 'easy', 'comfortable']",[]
